21三体综合症	trisomy
序言	preface
底数	base
底栖生物	benthos
底漆	primer
底特律	Detroit
底盘	chassis
底部	bottom
度量衡	measurement
座椅	seat
座头市	Zatoichi
库仑计	voltameter
库伦	Kulun
库存	stock
库布里克	Kubrick
库拉索	Curaçao
库尔德斯坦	Kurdistan
库肯霍夫公园	Keukenhof
库页岛	Sakhalin
庭院	courtyard
康涅狄格	Connecticut
庸俗化	debasement
庸才	mediocrity
庸碌	mediocre
厢式车	van
廉价	cheaply-priced
厨	kitchen
厨司	chef
厨子	cook
庙口	Miaokou
庙宇	temple
废墟	ruins
广告主	advertiser
广告宣传	advertising
广告拦截器	ad-blocker
广告牌	billboard
广场	plaza
广子	ad
广岛	Hiroshima
广度	breadth
广式	Cantonese-style
广泛	wide
广为	widely
广袤	vast
延展性	ductability
延性	ductility
延庆区	Yanqing
建三江	Jiansanjiang
建筑师	architect
建党	party-founding
弓弦	bowstring
弓箭手	archer
引信	fuze
引火柴	kindling
引爆装置	detonator
引用句	quotation
引种	agriculture
弗拉基米尔	Vladimir
弗拉芒	Flemish
弗罗茨瓦夫	Wroclaw
弗莱福兰	Flevoland
弗里斯兰	Friesland
弗雷德里克顿	Fredericton
弟子	disciple
弧	arc
弧形	curve
弩	crossbow
弱视	amblyopia
张力	tension
张惠妹	A-Mei
张王李赵	anyone
强力	powerful
强力胶	superglue
强大	formidable
强奸犯	rapist
强奸罪	rape
弹丸	pellet
弹夹	magazine
弹子	towrope
弹指之间	instantly
弹片	shrapnel
弹珠台	pinball
弹痕累累	bullet-riddled
弹药	ammunition
弹跳板	springboard
弥勒	Maitreya
弥赛亚	Messiah
彗星	comet
形容词	adjective
形态发生素	morphogen
形而上学	metaphysics
形变	deformation
彩弹	paintball
彩泥	playdough
彪子	simpleton
彬	urbane
彬马那	Pyinmana
影院	cinema
影音	audiovisual
影响层面	impact
彼尔姆	Perm
征战	campaign
征服者	conqueror
很是	quite
律	law
律吕	tuning
律师	lawyer
后备	reserve
后备军	rearguard
后味	aftertaste
后效	after-effect
后殖民	postcolonial
后海	Houhai
后灯	taillight
后现代主义	postmodernism
后甲板	afterdeck
后裔	descendant
后制	postproduction
后见之明	hindsight
径流	runoff
径直	directly
徒劳	futile
徒步旅行	hiking
得中	moderate
得了	emphatically
得克萨斯	Texas
得可以	awfully
得票	vote-getting
从不	never
从俭	economical
从句	clause
从严	strict
从宽	lenient
从属	subordinate
从业者	practitioner
复活节	Easter
循道宗	Methodism
徬	irresolute
微不足道	negligible
微光	glimmer
微动开关	microswitch
微型	miniature
微妙	subtle
微晶	microcrystal
微生物	microorganism
微生物学	microbiology
微生物学家	microbiologist
微睡眠	microsleep
微秒	microsecond
微管蛋白	tubulin
微粒体	microsome
微丝	microfilament
微缩胶卷	microfilm
微胖	stoutish
微胶囊技术	microencapsulation
微处理器	microprocessor
微表情	microexpression
微观经济	microeconomic
微观经济学	microeconomics
微距	close-up
微醺	tipsy
微量白蛋白	microalbumin
微电子	microelectronics
微电脑	microcomputer
征状	symptom
德国	Germany
德国结	pretzel
德国酸菜	sauerkraut
德川	Tokugawa
德式	German-style
德意志	Deutschland
德雷斯顿	Dresden
德黑兰	Tehran
徽标	emblem
心伤	broken-hearted
心包	pericardium
心土	subsoil
心弦	heartstrings
心律不齐	arrhythmia
心悸	palpitation
心爱	beloved
心慈手软	merciful
心狠手辣	merciless
心理学	psychology
心理学家	psychologist
心目	mind
心硬	hard-hearted
心累	drained
心结	preoccupation
心绞痛	angina
心肌	myocardium
心肌炎	myocarditis
心肝宝贝	sweetheart
心肺	cardiopulmonary
心胸狭窄	petty
心腹	confidant
心血管	cardiovascular
心跳过缓	bradycardia
心防	guardedness
心灵上	spiritual
心灵感应	telepathy
必备	essential
必杀技	finisher
必要性	necessity
忉	grieved
忍者	ninja
忐忑	apprehensive
志愿者	volunteer
忘性	forgetfulness
忙碌	busy
忠	loyal
忠实	faithful
快可立	Quickly
快手	Kuaishou
快板	allegro
快乐	happy
快当	quick
快讯	newsflash
快转	fast-forward
快速	fast
快递员	courier
快门	shutter
念力	psychokinesis
念头	thought
忽地	suddenly
怎	how
怏	discontented
怒气	anger
怒冲冲	furiously
思想家	thinker
思想意识	consciousness
思觉失调	psychosis
思路敏捷	quick-witted
思乡病	homesickness
怠惰	idleness
怡人	delightful
急公好义	public-spirited
急剧	rapid
急忙	hastily
急流	torrent
急着	urgently
性事	sex
性交高潮	orgasm
性冷淡	frigidity
性命	life
性子	temper
性学	sexology
性急	impatient
性短讯	sext
性腺	gonad
怨尤	resentment
怨毒	rancor
怨言	complaint
怯懦	timid
恒定	constant
恒心	perseverance
恒温器	thermostat
恉	purport
恐同症	homophobia
恐怖主义	terrorism
恐怖分子	terrorist
恐惧症	phobia
恐韩症	Koreaphobia
恐龙总目	Dinosauria
恐龙类	dinosaurs
恙	sickness
恚	rage
恟	scared
恢复期	convalescence
耻	humiliation
恩公	benefactor
恩斯赫德	Enschede
恩贾梅纳	N'Djamena
恫	frighten
恭	respectful
恭谨	deferential
恰吉	Chucky
恰帕斯州	Chiapas
悄悄咪咪	stealthily
悦	pleased
悉尼	Sydney
悍勇	intrepid
悔意	remorse
悚	frightened
悜	obscure
悠扬	melodious
患者	patient
悲剧性	tragic
悲喜剧	tragicomedy
悲苦	forlorn
悲观	pessimistic
怅	regretful
闷声闷气	muffled
悻然	angrily
凄怆	pitiful
凄凉	mournful
情侣鹦鹉	lovebirds
情境	situation
情急	anxious
情意	affection
情景喜剧	sitcom
情真意切	heartfelt
情谊	friendship
惠普	Hewlett-Packard
惠誉	Fitch
惠灵顿	Wellington
恶名昭著	infamous
恶唑啉	oxacillin
恶性通货膨胀	hyperinflation
恶毒	malicious
恼火	annoyed
想家	homesick
想象力	imagination
惶	dread
惶恐	terrified
恻隐之心	compassion
愁绪	melancholy
愉快	cheerful
意外事故	accident
意大利	Italy
意大利面	spaghetti
意式	Italian-style
意志	will
意志力	willpower
意念移物	telekinesis
意气相投	congenial
意识形态	ideology
愓	profligate
愚鲁	dull-witted
爱丁堡	Edinburgh
爱哭鬼	crybaby
爱国主义	patriotism
爱国者	patriot
爱奇艺	iQiyi
爱好者	amateur
爱彼迎	Airbnb
爱意	love
爱斯基摩	Eskimo
爱普生	Epson
爱沙尼亚	Estonia
爱尔兰	Ireland
爱留根纳	Eriugena
爱维养	Evian
爱荷华	Iowa
爱莫利维尔	Emeryville
爱词霸	iCIBA
爱达荷	Idaho
惬	content
惬意	satisfied
感人	touching
感光	light-sensitive
感知力	perceptivity
慅	agitated
慆	rejoice
慇	solicitous
慈善机构	charity
慈悲	mercy
慕田峪	Mutianyu
惨重	disastrous
恸	grief
慢	slow
慢化剂	moderator
慢慢	slowly
慧	intelligent
虑病症	hypochondria
悭俭	miserly
慵	lethargic
庆典	celebration
欲望	desire
忧灼	worrying
凭空捏造	frame-up
憩室炎	diverticulitis
憪	composed
憬	awaken
宪政主义	constitutionalism
憺	peace
应激源	stressor
应变力	adaptability
懔	fear
懑然	dejectedly
懦	faint-hearted
懦弱	cowardly
惩罚性	punitive
懒	lazy
懒人沙发	beanbag
懒散	indolent
懒洋洋	lazily
怀俄明	Wyoming
怀柔区	Huairou
悬挂式滑翔	hang-gliding
悬挂式滑翔机	hang-glider
悬疑	suspense
悬臂	cantilever
惧内	henpecked
惧高症	acrophobia
恋尸癖	necrophilia
恋童犯	pedophile
恋童癖	pedophilia
戈斯拉尔	Goslar
成化	Chenghua
成千	thousands
成员	member
成年者	adult
成心	intentionally
成文法	statute
成本	manufacturing
成核	nucleation
成瘾性	addictiveness
我	I
我们	we
戒备森严	heavily-guarded
戒命	prohibition
戒惧	wary
戒断	withdrawal
或然	probable
截夺	intercept
截止期限	deadline
截然	sharply
战列舰	battleship
战地	battlefield
战斧	battle-ax
战时	wartime
战无不胜	invincible
战略	strategy
战略性	strategic
战术	tactics
战马	warhorse
战斗者	fighter
戏剧化	theatrical
戏剧性	dramatic
戏台	stage
戏院	theater
戴安娜王妃	Diana
戴尔	Dell
户外	outdoor
房客	tenant
房室	room
房山区	Fangshan
房东	landlord
房檐	eaves
所在地	location
所多	Soto
扁圆	oblate
扁桃体	tonsil
扁桃体炎	tonsillitis
扁虫	flatworm
扈	retinue
手倒立	handstand
手册	manual
手刹	handbrake
手势	gesture
手包	handbag
手写体	cursive
手工业	handicraft
手工台	workbench
手忙脚乱	flustered
手拉车	cart
手提箱	suitcase
手摇	hand-cranked
手腕子	wrist
手自一体	manumatic
手锯	handsaw
手镯	bracelet
手雷	grenade
手风琴	accordion
扎伊尔	Zaire
扒手	pickpocket
扒钉	cramp
打千	genuflection
打印机	printer
打字员	typist
打字机	typewriter
打火石	flint
托儿所	nursery
托勒密王	Ptolemy
托尼老师	hairdresser
托尔斯港	Tórshavn
托皮卡	Topeka
托育	childcare
托莱多	Toledo
托叶	stipule
扢	sprightful
扯裂	rip
扶他林	voltaren
扶南	Funan
扶手椅	armchair
扶桑	Fusang
扶栏	handrail
批评家	critic
承包商	contractor
承销店	dealership
技	skill
技术官僚	technocrat
把拔	daddy
抑制作用	inhibition
抑扬格	iambic
抑郁	depressed
抓力	grip
抓地力	traction
抓大放小	PRC
投影仪	projector
投票者	voter
投资人	investor
抖音	Douyin
抗倾覆	anticapsizing
抗凝血剂	anticoagulant
抗毒素	antitoxins
抗氧化剂	antioxidant
抗生素	antibiotic
抗病毒	antiviral
抗病毒药	antivirals
抗癌	anti-cancer
抗血清	antiserum
抗议者	protester
抗锯齿	anti-aliasing
折光	refraction
折扣	discount
折皱	fold
折旧	depreciation
折衷主义	eclecticism
披巾	shawl
押沙龙	Absalom
抽屉	drawer
抽脂	liposuction
拂扫	whisk
拇指甲	thumbnail
拉克替醇	lactitol
拉包尔	Rabaul
拉夫堡	Loughborough
拉奎拉	L'Aquila
拉姆安拉	Ramallah
拉巴特	Rabat
拉拉	Lala
拉斐尔	Raphael
拉斐特	Lafayette
拉法兰	Raffarin
拉法赫	Rafah
拉脱维亚	Latvia
拉达克	Ladakh
拉链	zipper
拉风	trendy
拊	pat
抛射物	projectile
抛物线	parabola
拓展坞	dock
拔染	discharge
拔示巴	Bathsheba
拖延症	procrastination
拖把	mop
拖曳伞	parasail
拖曳机	tractor
拖沓	dilatory
拖轮	tugboat
拗口	awkward-sounding
拘役	detention
拘束衣	straightjacket
拙劣	clumsy
招待所	guesthouse
招聘者	recruiter
招股说明书	prospectus
拜物教	fetishism
括毒	spiteful
括约肌	sphincter
拱度	camber
拱形	arch
拱道	archway
拱点	apse
拳击	boxing
拳击手	boxer
拼多多	Pinduoduo
拼法	spelling
拿不准	indecisive
持份者	stakeholder
持卡人	cardholder
持有人	holder
指尖	fingertip
指挥官	commander
指挥棒	baton
指甲	fingernail
指示器	indicator
指关节	knuckle
按手礼	ordination
按摩师	masseur
按摩棒	vibrator
按摩浴缸	jacuzzi
按时间先后	chronological
按理	normally
按说	ordinarily
挎斗	sidecar
挑战者	challenger
挑衅	provocation
挖掘机	excavator
挖泥船	dredger
挨着	near
挪威	Norway
挫折感	frustration
振幅	amplitude
振荡器	oscillator
捆缚	bondage
捉摸不定	elusive
捐赠者	donor
捕手	catcher
捕禽人	birdcatcher
捕鲸船	whaler
捕鸟蛛	tarantula
捕鼠器	mousetrap
捘	push
卷带	tape
捷径	shortcut
捷尔任斯克	Dzerzhinsk
掀天揭地	earth-shattering
掀背车	hatchback
扫帚	broom
扫描器	scanner
扫雷舰	minesweeper
授精	insemination
掌故	anecdote
掌柜	shopkeeper
掎	drag
排枪	salvo
排水渠	drainage
排水沟	gutter
排水量	displacement
排泄物	excreta
排湾族	Paiwan
排版	typesetting
排箫	panpipes
挂坠盒	locket
挂绳	lanyard
挂车	trailer
挂锁	padlock
采暖	heating
采样	sampling
采矿	mining
探测器	detector
探照灯	searchlight
探索性	exploratory
探路者	Pathfinder
探针	probe
探险家	explorer
接力	relay
接合菌纲	Zygomycetes
接待员	receptionist
接收器	receiver
接生婆	midwife
接触器	contactor
接连不断	continuous
推力	impetus
推土机	bulldozer
推斥	repulsion
推理小说	whodunit
措置裕如	effortless
措辞强硬	strongly-worded
掾	official
揃	shear
提克里特	Tikrit
提心吊胆	fearful
提摩太	Timothy
提案人	proposer
提示音	beep
提线木偶	marionette
提词器	teleprompter
提醒物	reminder
插头	plug
扬抑格	trochaic
扬声器	speaker
揪心揪肺	heart-wrenching
损耗品	consumables
搓衣板	washboard
摇光	Alkaid
摇杆	joystick
摇篮曲	lullaby
摇号	lottery
搜狐	Sohu
搜狗	Sogou
搬运工	porter
抢劫罪	robbery
摁扣儿	popper
摩亨佐·达罗	Moenjo-daro
摩加迪沙	Mogadishu
摩德纳	Modena
摩托罗拉	Motorola
摩托艇	motorboat
摩揭陀	Magadha
摩擦力	friction
摩洛哥	Morocco
摩尔多瓦	Moldova
摩纳哥	Monaco
摩羯座	Capricornus
摩萨德	Mossad
摩西	Moses
折纸	origami
撇去	skim
撇号	apostrophe
撑杆跳	pole-vaulting
撒哈拉	Sahara
撒哈拉以南	sub-Saharan
撒哈拉威	Sahrawi
撒拉语	Salar
撒都该人	Sadducees
撒马利亚	Samaria
撒马尔罕	Samarkand
撞锁	lock
拨奏	pizzicato
拨火棍	poker
拨片	plectrum
拨用	appropriation
抚抱	caress
撬棍	crowbar
播报员	announcer
播放列表	playlist
撼天动地	earth-shaking
捡骨	bone-gathering
擂茶	"leicha"
擅断	arbitrary
击球员	baseball
挡泥板	mudguard
操作员	operator
操舵室	pilothouse
担架床	stretcher
担惊受怕	alarmed
擖	scrape
据此	accordingly
据说	reportedly
挤踏	stampede
擦音	fricative
拟声词	onomatopoeia
拟卤素	pseudohalogen
搁板	shelf
搁脚板	footrest
摆线	cycloid
攃	preceding
摄影师	photographer
摄影术	photography
摄影记者	photojournalist
摄政王	regent
支付宝	Alipay
支光	watt
支座	abutment
支持者	supporter
支撑架	bracket
支族	subfamily
支气管炎	bronchitis
收件箱	inbox
收割者	reaper
收容人	inmate
收成	harvest
收货人	consignee
收费站	tollbooth
收银员	cashier
改革家	reformer
放任政策	non-interference
放大器	amplifier
放射免疫测定	radioimmunoassay
放射学	radiology
放射性	radioactive
放射性活度	radioactivity
放射治疗	radiotherapy
放松管制	deregulation
放荡不羁	dissolute
政事	politics
政客	politician
政治局	politburo
政治性	political
故事线	storyline
故意	deliberately
效率	efficiency
敏锐	keen
救兵	reinforcements
救星	savior
救生员	lifeguard
救生船	lifeboat
救赎主	Redeemer
败家子	spendthrift
败血症	septicaemia
叙事	narrative
叙利亚	Syria
教仪	ordinance
教务长	provost
教堂墓地	churchyard
教宗	pope
教宗座驾	popemobile
教本	textbook
教条主义	dogmatism
教母	godmother
教父	godfather
教皇	pontiff
教众	followers
教育学	pedagogy
教育家	educationalist
教育工作者	educator
敞开儿	unrestrictedly
散光	astigmatism
散职	sinecure
散逸层	exosphere
敦刻尔克	Dunkirk
敦豪	DHL
敬意	respect
敬虔	devout
敲诈罪	extortion
敌基督	Antichrist
敌意	enmity
敌方	enemy
数不胜数	innumerable
数不清	countless
数字命理学	numerology
数学	mathematics
数学家	mathematician
数得着	notable
数据	data
数据手册	datasheet
数据集	dataset
数码港	Cyberport
数词	numeral
文具商	stationer
文员	clerk
文字学	philology
文凭	diploma
文抄公	plagiarist
文旦	pomelo
文明化	civilize
文档	document
文盲	illiterate
文胸	bra
文莱	Brunei
斐济	Fiji
斑疹伤寒	typhus
斑马鱼	zebrafish
斑驳陆离	variegated
斑鸠	turtledove
料件子活	piecework
斜体字	italics
斧	hatchet
斨	axe
斯堪的纳维亚	Scandinavia
斯多葛主义	Stoicism
斯大林主义	Stalinism
斯巴达	Sparta
斯巴鲁	Subaru
斯德哥尔摩	Stockholm
斯拉夫	Slavic
斯普林菲尔德	Springfield
斯普特尼克	Sputnik
斯柯达	Škoda
斯洛文尼亚	Slovenia
斯特拉斯堡	Strasbourg
斯瓦希里	Swahili
斯雷布雷尼察	Srebrenica
新冠肺炎	COVID-19
新加坡	Singapore
新古典	neoclassical
新古典主义	neoclassicism
新娘	bride
新字体	shinjitai
新宿	Shinjuku
新教	Protestantism
新殖民主义	neocolonialism
新殖民化	neocolonialization
新浪	Sina
新潟	Niigata
新石器	Neolithic
新竹市	Hsinchu
新义州市	Shin'ŭiju
新闻学	journalism
新闻发言人	spokesman
新闻组	newsgroup
新闻记者	journalist
新艺拉玛	Cinerama
新艺综合体	CinemaScope
新西伯利亚市	Novosibirsk
新近	newly
新郎	bridegroom
断续	intermittent
𣃁	cut
方位角	azimuth
方尖碑	obelisk
方帽	mortarboard
方方正正	square-shaped
方法学	methodology
方舟	ark
方铅矿	galena
方头巾	headscarf
于是	thereupon
于是乎	therefore
施事者	doer
施政	administration
施教	teaching
施乐	Xerox
施洗	baptize
施虐受虐	sado-masochism
旁边	side
旅客	traveler
旅程表	itinerary
旅舍	inn
旅途	journey
旋律	melody
旋涡状	spiral-shaped
旋花科	Convolvulaceae
旖旎	enchanting
旗杆	flagpole
旗舰	flagship
旗袍	cheongsam
旗语	semaphore
既有	existing
既然	since
日中	Japan-China
日光	sunlight
日光浴	sunbathing
日光浴浴床	sunbed
日内瓦	Geneva
日冕	corona
日出	sunrise
日常	day-to-day
日常工作	routine
日晷	sundial
日暮	sunset
日晒伤	sunburn
日本	Japan
日本共同社	Kyōdō
日本学	Japanology
日立	Hitachi
日美	Japan-US
日耳曼	Germanic
日间	daytime
旦角	dan
早前	previously
早午饭	brunch
早场	matinee
早搏	extrasystole
早熟	precocious
早老素	presenilins
早点	breakfast
旱	drought
旱獭	marmot
旱鸭子	non-swimmer
旺炽	blazing
昆虫学	entomology
昌平区	Changping
昌迪加尔	Chandighar
明信片	postcard
明喻	simile
明天	tomorrow
明尼苏达	Minnesota
明尼阿波利斯	Minneapolis
明斯克	Minsk
明治	Meiji
明胶	gelatin
明虾	prawn
明里	publicly
昏庸	muddleheaded
昏暗	dusky
易感	susceptible
易挥发	volatile
易损性	vulnerability
易洛魁	Iroquois
易激惹	irritable
易爆	explosive
易腐败	perishable
易趣	EachNet
易游网	ezTravel
星光	starlight
星冰乐	Frappuccino
星巴克	Starbucks
星斗	stars
星期一	Monday
星期三	Wednesday
星期二	Tuesday
星期五	Friday
星期四	Thursday
星期日	Sunday
星云	nebula
星驰	rapidly
春季	springtime
春日部	Kasukabe
春药	aphrodisiac
春黄菊属	Anthemis
昨天	yesterday
时代	Time
时代曲	shidaiqu
时常	often
时延	latency
时而	occasionally
时钟	clock
时长	duration
时间戳	timestamp
时间测定学	chronometry
时间线	timeline
晌午	noon
晚晌	evening
昼行性	diurnality
普列谢茨克	Plesetsk
普利茅斯	Plymouth
普契尼	Puccini
普惠	inclusive
普林斯顿	Princeton
普罗夫迪夫	Plovdiv
普罗米修斯	Prometheus
普罗维登斯	Providence
普适	universal
普雷克斯流程	purex
普雷斯顿	Preston
普鲁东主义	Proudhonism
景色	scenery
景观	landscape
晶体	crystal
晶体管	transistor
智利	Chile
智性恋	sapiosexuality
智慧	wisdom
智神星	Pallas
智能手机	smartphone
智能手表	smartwatch
智谋	resourcefulness
晾衣绳	clothesline
暌隔	parted
暍	hot
暖化	warming
暖意	warmth
暗堡	bunker
暗室	darkroom
暗流	undercurrent
暗里	privately
畅通	unobstructed
暂且	temporarily
暂时	temporary
暂行	provisional
暮色	twilight
暴光	exposure
暴戾	ruthless
暴虐无道	oppressive
暴躁	irascible
暴露狂	exhibitionist
暴露癖	exhibitionism
暴龙科	Tyrannosauridae
历	calendar
晒娃	sharenting
曲度	curvature
曲线锯	jigsaw
曲轴	crankshaft
曲霉毒素	aspergillus
书法家	calligrapher
书虫	bookworm
书记处	secretariat
书面	written
曼妥思	Mentos
曼尼托巴	Manitoba
曼德勒	Mandalay
曼彻斯特	Manchester
曼海姆	Mannheim
曼谷	Bangkok
曾孙	great-grandson
曾孙女	great-granddaughter
曾祖父母	great-grandparents
替罪羊	scapegoat
最低点	nadir
最喜爱	favorite
最年长	eldest
最后通牒	ultimatum
最终	final
会厌	epiglottis
会厌炎	epiglottitis
会客厅	parlor
会死	mortal
会漏	leak
会计师	accountant
月亮女神号	SELENE
月份	month
月光	moonlight
月光石	moonstone
月子	puerperium
月度	monthly
月牙形	crescent
月琴	yueqin
有一点	somewhat
有人情	humane
有价值	valuable
有利	advantageous
有利可图	profitable
有创造力	ingenious
有型	stylish
有孔虫	foraminifera
有帮助	helpful
有影响	influential
有意识	conscious
有才干	capable
有排面	showy
有攻击性	offensive
有效性	validity
有效负载	payload
有料	impressive
有时候	sometimes
有条纹	striped
有机	organic
有机玻璃	plexiglass
有机磷酸酯类	organophosphate
有机体	organism
有权威	authoritative
有次	once
有次序	ordered
有毒	poisonous
有气派	lordly
有气无力	dispirited
有气质	classy
有氧运动	aerobics
有决心	determined
有用	useful
有界	bounded
有益处	beneficial
有精神病	insane
有丝分裂	mitosis
有罪	guilty
有罪不罚	impunity
有声书	audiobook
有能力	able
有胆量	courageous
有良心	conscientious
有色眼镜	prejudice
有卖相	appealing
有轨电车	streetcar
有道理	reasonable
有阴影	shadowy
有预谋	premeditated
有风	windy
朋	friend
朋党	clique
朝圣者	pilgrim
朝着	towards
期刊	periodical
木偶	puppet
木刻	woodcut
木匠	carpenter
木卡姆	muqam
木吒	Muzha
木柴	firewood
木桶	cask
木炭	charcoal
木犀	osmanthus
木琴	xylophone
木瓦	shingle
木糖醇	xylitol
木聚糖	xylan
木薯	cassava
木薯淀粉	tapioca
木兰属	Magnolia
木兰科	Magnoliaceae
木制	wooden
木质素	lignin
木质部	xylem
木钉	peg
未卜	unknowable
未婚	unmarried
未婚夫	fiancé
未婚妻	fiancée
未定	undecided
未成	incomplete
未成年	underage
未熟	unripe
未知	unknown
未经证实	unconfirmed
末后	finally
末日论	eschatology
本尼迪	Benedictus
本州	Honshū
本底	background
本影	umbra
本能	instinct
本那比市	Burnaby
本体论	ontology
札幌	Sapporo
札格雷布	Zagreb
朱红	vermilion
朽坏	rotten
朿	stab
杆子	pole
李	plum
李木	blackthorn
李氏朝鲜	Joseon
杏子	apricot
杏眼	large
村子	village
村民	villager
村舍	cottage
杜尚别	Dushanbe
杜蕾斯	Durex
杜马	Duma
束腰	girdle
束身内衣	corset
东仓里	Dongchang-ni
东北	northeast
东南	southeast
东城区	Dongcheng
东方	east
东洋鬼子	Nip
东芝	Toshiba
东道	host
杳无人迹	uninhabited
杻	handcuffs
松科	pinaceae
松节油	turpentine
松鸡	grouse
松露	truffle
松鹤遐龄	longevity
松鼠	squirrel
板岩	slate
板条	lath
板条箱	crate
板状	board-shaped
板车	handcart
板门店	Panmunjeom
枕套	pillowcase
枕头	pillow
林可霉素	lincomycin
林地	woodland
林学	forestry
林荫道	boulevard
林雪平	Linköping
果仁密饼	baklava
果倍爽	Capri-Sun
果品	fruit
果园	orchard
果子冻	jelly
果糖	fructose
果肉	pulp
果胶	pectin
果酱	jam
果馅饼	tart
枯干	shriveled
枯燥	uninteresting
枯萎病	blight
柏拉图哲学	Platonism
柏林	Berlin
某时	sometime
某物	something
某处	somewhere
柑橘	citrus
柑橘酱	marmalade
染毒	contamination
染色	dye
染色体	chromosome
柔道	judo
柘榴石	garnet
查尔斯	Charles
查尔斯顿	Charleston
查韦斯	Chavez
柩	bier
柬埔寨	Cambodia
柯夫塔	kofta
柯尼斯堡	Königsberg
柱梁	pillar
柳条	osier
柳树	willow
栅栏	fence
柿	persimmon
栗子	chestnut
校园	campus
校订	revision
栩栩	vivid
栱	post
栲属	Castanopsis
核合成	nucleosynthesis
核小体	nucleosome
核心	core
核糖	ribose
核糖体	ribosome
核苷	nucleoside
核苷酸	nucleotide
核碱基	nucleobase
根基	foundation
根特	Ghent
根须	roots
格但斯克	Gdansk
格子呢	plaid
格子棉布	gingham
格子花呢	tartan
格子间	cubicle
格拉斯哥	Glasgow
格拉纳达	Granada
格林多	Corinthians
格林威治	Greenwich
格林纳达	Grenada
格栅	grille
格格笑	giggle
格罗宁根	Groningen
格罗兹尼	Grozny
格言	maxim
格陵兰	Greenland
桃子	peach
桃花心木	mahogany
桅杆	mast
案文	text
桉树	eucalyptus
桌上型	desktop
桎	fetters
桑给巴尔	Zanzibar
桶孔	bunghole
梁赞	Ryazan
梁龙	diplodocus
梅林	Merlin
梅毒	syphilis
梐	stockade
梗概	gist
条件式	conditional
条例	regulations
条形码	barcode
条纹	stripe
梧桐科	Sterculiaceae
梨俱吠陀	Rigveda
梨属	Pyrus
梨果	pome
梯	stairs
梯度	gradient
梯板	gangplank
梵教	Brahmanism
梵文	Sanskrit
梵书	Brahmana
棉花	cotton
棋盘	chessboard
棍子	stick
棍棒	club
棍网球	lacrosse
棒冰	popsicle
棕色	brown
棘	thorns
棘皮动物	echinoderm
棘轮	ratchet
棚户区	shantytown
棠	cherry-apple
栈主	innkeeper
栈架	trestle
棬	bowl
森美兰	Sembilan
栖息地	habitat
棺	coffin
椅	chair
植树造林	afforestation
植物化学成分	phytochemical
植物学	botany
植物学家	botanist
植物群	flora
椓	beat
椪柑	ponkan
杨	poplar
枫树	maple
楔形物	wedge
业务员	salesperson
业余爱好者	hobbyist
楮纸	kozogami
极其	extremely
极化	polarization
极权	totalitarian
极权主义	totalitarianism
极端	extreme
极端主义	extremism
极端分子	extremist
极简主义	minimalism
极道	yakuza
概念化	conceptualization
概括化	generalization
概要	outline
概述	overview
榆树	elm
榕树	banyan
榛子	hazelnut
榛色	filbert
榨酒池	winepress
杩	headboard
荣光	glory
荣市	Vinh
荣耀	honor
榴弹炮	howitzer
槌球	croquet
枪子	bullet
枪法	marksmanship
杠铃	barbell
槲寄生	mistletoe
桨手	rower
槽位	slot
乐	music
乐事	pleasure
乐园	paradise
乐学者	musicologist
乐感	musicality
乐观	optimistic
乐观主义	optimism
乐趣	delight
乐颠了馅	ecstatic
乐高	Lego
枞树	fir
楼下	downstairs
楼宇	building
楼厢	loft
樕	shrub
樗	simaroubaceae
标枪	javelin
标准化	standardization
标牌	label
标号	grade
标志性	iconic
标语牌	placard
枢垣	censorate
枢轴	pivot
樟宜	Changi
模仿品	counterfeit
模块化	modularity
模块式	modular
模式	mode
模形	pattern
模拟器	emulator
样品	sample
样机	prototype
样貌	appearance
樵子	woodcutter
朴实无华	plain
朴次茅斯	Portsmouth
树冠	treetop
树熟	tree-ripe
树篱	hedge
树脂	resin
树苗	sapling
树袋熊	koala
桦木	birch
橙子	orange
机制	mechanism
机器人	robot
机器人学	robotics
机密性	confidentiality
机敏	agility
机械工人	mechanic
机械性	mechanical
机壳	case
机要	classified
机遇	opportunity
机长	captain
机关车	locomotive
橡木	oaken
橡树	oak
橡胶	rubber
椭	ellipse
椭圆形	oval
横截面	cross-section
横梁	beam
横楣	lintel
横滨	Yokohama
横筋斗	cartwheel
横纲	yokozuna
横膈	diaphragm
横竖	anyway
檀君	Tangun
檀香	sandalwood
柽	tamarisk
檐廊	veranda
档案	file
档案夹	portfolio
检查员	inspector
检查站	checkpoint
检疫	quarantine
檨	mango
台布	tablecloth
柠檬	lemon
柠檬水	lemonade
柜员	teller
棂	latticework
樱岛	Sakurajima
樱桃	cherry
樱花草	primrose
欂	rafter
栏架	hurdle
权宜	expedient
权杖	scepter
权柄	authority
𪴙	gather
欙	sedan
次方言	subdialect
次等	second-class
次要	secondary
欸	eh
欺诈者	deceiver
欼	drink
歈	songs
歌后	diva
歌手	singer
歌曲	song
歌罗西	Colossia
歌舞伎	kabuki
欧亚大陆	Eurasia
欧元区	Eurozone
欧柏林	Oberlin
欧若拉	Aurora
欧蝶鱼	plaice
止汗剂	anti-perspirant
止痛片	painkiller
正交	orthogonality
正仓院	Shōsō-in
正型标本	holotype
正字法	orthography
正式	formal
正方形	square
正牌	genuine
正畸	orthodontics
正确	correct
正负号	±
此	this
